citizen_id,scheme_id,gold_label,bge_score
CP-097,IW600-UK-GBR-015,0,0.5534089803695679
CP-030,IW600-MS-GJ-004,0,0.39864581823349
CP-043,IW600-UK-GBR-054,0,0.43888917565345764
CP-022,IW600-MS-CEN-002,1,0.47466203570365906
CP-096,IW600-MS-CEN-001,0,0.6181948184967041
CP-038,IW600-MS-RJ-015,0,0.5890681743621826
CP-090,IW600-JS-CEN-015,0,0.5549873113632202
CP-065,IW600-US-USA-032,0,0.5556406378746033
CP-080,IW600-MS-CG-009,0,0.47486674785614014
CP-021,IW600-JS-CEN-006,1,0.623846173286438
CP-011,IW600-US-USA-004,0,0.5095446705818176
CP-011,IW600-UK-GBR-057,0,0.5110787153244019
CP-081,IW600-MS-CEN-001,0,0.5852322578430176
CP-091,IW600-MS-AR-019,0,0.531623363494873
CP-060,IW600-MS-BR-006,0,0.5433202981948853
CP-086,IW600-MS-CEN-003,0,0.5388522744178772
CP-037,IW600-UK-GBR-038,0,0.4864948093891144
CP-091,IW600-MS-CEN-002,1,0.5319020748138428
CP-069,IW600-US-USA-001,0,0.5177105069160461
CP-055,IW600-MS-CG-008,0,0.5960605144500732
CP-093,IW600-MS-CEN-006,1,0.5981509685516357
CP-046,IW600-UK-GBR-004,0,0.48698025941848755
CP-081,IW600-JS-CEN-010,1,0.5438576340675354
CP-027,IW600-JS-CEN-004,1,0.6069843769073486
CP-039,IW600-JS-CEN-012,1,0.4896712899208069
CP-013,IW600-MS-KL-009,0,0.7343866229057312
CP-092,IW600-MS-AR-011,0,0.5867485404014587
CP-093,IW600-UK-GBR-057,0,0.49896344542503357
CP-029,IW600-JS-CEN-013,0,0.5971463918685913
CP-077,IW600-TN-TN-060,0,0.6159334778785706
CP-016,IW600-MS-KL-010,0,0.5161209106445312
CP-009,IW600-MS-CEN-005,0,0.4608986973762512
CP-035,IW600-JS-CEN-010,0,0.5709424018859863
CP-094,IW600-US-USA-014,0,0.6078090667724609
CP-051,IW600-MS-BR-014,0,0.5465599298477173
CP-097,IW600-TN-TN-090,0,0.5297146439552307
CP-023,IW600-JS-CEN-012,1,0.4150509834289551
CP-044,IW600-MS-HR-020,0,0.5472896695137024
CP-084,IW600-TN-TN-053,0,0.5479247570037842
CP-015,IW600-MS-KL-003,1,0.6395264863967896
CP-078,IW600-MS-CG-011,0,0.6222246885299683
CP-025,IW600-MS-GA-013,0,0.47652003169059753
CP-091,IW600-MS-CEN-001,0,0.5863478183746338
CP-079,IW600-MS-CG-017,1,0.5892307758331299
CP-052,IW600-UK-GBR-013,0,0.567676842212677
CP-055,IW600-JS-CEN-004,1,0.6193795204162598
CP-046,IW600-UK-GBR-026,0,0.41555219888687134
CP-084,IW600-MS-CEN-005,0,0.4982396364212036
CP-046,IW600-UK-GBR-016,0,0.45563796162605286
CP-072,IW600-MS-GJ-017,0,0.5713306665420532
CP-100,IW600-JS-CEN-013,0,0.6475324630737305
CP-095,IW600-JS-CEN-004,1,0.5572855472564697
CP-091,IW600-MS-AN-023,0,0.5660189390182495
CP-023,IW600-UK-GBR-012,0,0.3516906201839447
CP-023,IW600-MS-AR-001,0,0.5348076820373535
CP-087,IW600-MS-CEN-001,0,0.59771728515625
CP-097,IW600-JS-CEN-011,0,0.629321277141571
CP-074,IW600-JS-CEN-012,1,0.42439842224121094
CP-023,IW600-MS-HR-013,0,0.5591037273406982
CP-063,IW600-TN-TN-044,0,0.44108569622039795
CP-055,IW600-UK-GBR-033,0,0.4882504940032959
CP-057,IW600-US-USA-049,0,0.545433759689331
CP-024,IW600-MS-KL-001,0,0.5190905332565308
CP-055,IW600-MS-CEN-004,1,0.4551556706428528
CP-019,IW600-MS-AP-017,0,0.5649847388267517
CP-021,IW600-JS-CEN-010,1,0.597099244594574
CP-097,IW600-US-USA-026,0,0.523752748966217
CP-072,IW600-TN-TN-116,0,0.4620789587497711
CP-064,IW600-MS-BR-019,0,0.6741277575492859
CP-051,IW600-MS-MH-001,0,0.6159369349479675
CP-092,IW600-MS-AR-019,0,0.5268703103065491
CP-036,IW600-MS-CEN-001,0,0.5653189420700073
CP-007,IW600-MS-MH-009,0,0.6118974089622498
CP-008,IW600-JS-CEN-010,0,0.6112804412841797
CP-072,IW600-JS-CEN-001,1,0.5415948629379272
CP-091,IW600-US-USA-009,0,0.5176035165786743
CP-085,IW600-MS-HP-002,0,0.562301754951477
CP-086,IW600-US-USA-001,0,0.5042165517807007
CP-040,IW600-UK-GBR-058,0,0.47976502776145935
CP-020,IW600-UK-GBR-015,0,0.5559860467910767
CP-041,IW600-JS-CEN-012,1,0.4877398610115051
CP-023,IW600-MS-HP-008,0,0.4483720660209656
